Name,Pos,Nationality,GP,Possible_GP,Qualify_Pct,TOI_GP,ES_TOI_GP,PP_TOI_GP,SH_TOI_GP,G_60,A_60,PTS_60,SOG_60,BLK_60,HIT_60,PP_PTS_60,PIM_GP,PlusMinus_GP,Height_in,Weight_lbs,BMI,Fights,CF_pct_5v5,xGF_pct_5v5,ixG_60_5v5
Morgan Barron,C,CAN,289.0,328,0.8811,11.62831603229527,10.084140715109573,0.053517877739330984,1.4906574394463667,0.678,0.696,1.375,6.981,2.982,8.82,0.036,0.349,0.093,76.0,220.0,26.78,3,49.66,49.6,0.721
Morgan Frost,C,CAN,315.0,328,0.9604,15.83328042328042,13.289259259259259,2.4844973544973543,0.05952380952380949,0.818,1.191,2.009,6.905,2.49,3.248,0.565,0.305,-0.13,72.0,193.0,26.17,0,50.21,51.52,0.652
Morgan Geekie,C,CAN,303.0,328,0.9238,15.176182618261828,13.255225522552255,1.7299779977997798,0.19097909790979095,1.279,1.227,2.505,7.072,1.905,5.35,0.6,0.317,0.059,75.0,212.0,26.5,2,48.77,49.67,0.718
Morgan Rielly,D,CAN,297.0,328,0.9055,21.93597081930415,18.94371492704826,2.4044332210998878,0.5878226711560044,0.267,1.354,1.621,5.213,4.301,2.063,0.525,0.33,-0.094,73.0,219.0,28.89,4,48.81,49.64,0.199
Moritz Seider,D,DEU,328.0,328,1.0,24.037499999999998,19.008333333333333,2.8666666666666667,2.1624999999999996,0.244,1.202,1.446,4.749,5.814,5.768,0.639,0.573,-0.024,74.0,210.0,26.96,2,49.61,49.44,0.168
Nate Schmidt,D,USA,296.0,328,0.9024,17.905405405405407,15.536092342342343,1.2096283783783783,1.1596846846846847,0.215,0.623,0.838,3.758,3.702,3.068,0.147,0.257,0.203,72.0,197.0,26.72,2,55.07,56.47,0.165
Nathan MacKinnon,C,CAN,312.0,328,0.9512,22.52767094017094,18.29396367521368,4.176602564102564,0.05710470085470085,1.519,2.698,4.217,12.301,1.724,1.793,1.28,0.487,0.468,72.0,200.0,27.12,2,57.69,57.45,0.883
Nazem Kadri,C,CAN,323.0,328,0.9848,18.479308565531475,15.35701754385965,3.0257481940144477,0.0965428276573787,1.045,1.448,2.493,10.414,1.156,2.624,0.824,0.622,-0.204,72.0,185.0,25.09,3,52.65,50.64,0.811
Neal Pionk,D,USA,284.0,328,0.8659,21.76026995305164,18.25463615023474,1.6894953051643193,1.816138497652582,0.272,0.864,1.136,4.932,4.107,5.971,0.243,0.662,0.067,72.0,190.0,25.77,4,49.75,48.28,0.156
Nic Dowd,C,USA,286.0,328,0.872,14.579545454545455,12.183333333333334,0.037645687645687625,2.3585664335664336,0.633,0.734,1.367,3.957,3.813,7.511,0.0,0.706,0.024,74.0,195.0,25.03,2,46.63,47.65,0.579
Nick Bjugstad,C,USA,281.0,328,0.8567,14.45747330960854,12.369395017793593,0.7702253855278767,1.3178529062870699,0.783,0.724,1.506,7.414,2.274,7.355,0.118,0.505,0.039,78.0,210.0,24.27,2,48.89,48.89,0.747
Nick Cousins,C,CAN,279.0,328,0.8506,11.567084826762246,11.394982078853046,0.1632616487455197,0.008841099163679774,0.576,0.911,1.487,6.693,2.528,8.757,0.0,0.842,0.025,71.0,191.0,26.64,7,53.07,51.85,0.714
Nick Foligno,LW,USA,266.0,328,0.811,14.945864661654134,12.276190476190477,1.3763157894736842,1.293358395989975,0.694,1.011,1.705,5.584,2.037,10.066,0.407,0.729,-0.098,72.0,210.0,28.48,14,45.61,46.06,0.625
Nick Jensen,D,USA,287.0,328,0.875,19.45551684088269,17.286120789779325,0.09053426248548199,2.078861788617886,0.14,0.731,0.87,3.148,4.427,2.815,0.0,0.195,0.021,72.0,202.0,27.39,0,47.93,47.6,0.14
Nick Paul,LW,CAN,289.0,328,0.8811,16.077104959630912,13.573644752018456,1.69838523644752,0.8050749711649365,0.904,0.826,1.73,6.224,1.821,4.597,0.336,0.422,-0.024,76.0,234.0,28.48,4,50.1,49.06,0.71
Nick Schmaltz,C,USA,306.0,328,0.9329,19.259640522875813,15.343572984749455,3.1651960784313724,0.7508714596949891,0.988,1.619,2.606,6.953,1.69,0.662,0.794,0.235,-0.033,72.0,184.0,24.95,0,53.72,52.34,0.618
Nick Seeler,D,USA,305.0,328,0.9299,16.58710382513661,14.924699453551911,0.03655737704918028,1.6258469945355194,0.142,0.534,0.676,4.27,8.48,6.037,0.0,0.682,0.069,75.0,197.0,24.62,12,48.06,52.49,0.175
Nick Suzuki,C,CAN,328.0,328,1.0,20.791666666666664,16.32916666666667,3.479166666666666,0.9833333333333333,1.038,1.892,2.93,6.176,2.076,2.147,1.038,0.32,0.088,71.0,207.0,28.87,1,51.3,50.16,0.572
Nicklaus Perbix,D,,299.0,328,0.9116,16.613043478260874,15.564269788182834,0.06806020066889629,0.9807134894091416,0.193,0.725,0.918,3.793,4.119,2.826,0.0,0.241,0.043,,,,0,,,
Nico Hischier,C,CHE,309.0,328,0.9421,19.94768069039914,15.04881337648328,3.0634843581445526,1.8353829557713053,1.178,1.567,2.745,8.138,2.19,1.752,0.857,0.23,0.1,73.0,200.0,26.38,1,54.11,55.04,0.85
Nico Sturm,C,DEU,248.0,328,0.7561,12.860618279569893,10.858602150537635,0.27372311827956985,1.728293010752688,0.583,0.621,1.204,5.361,2.577,6.34,0.0,0.286,-0.177,75.0,209.0,26.12,3,45.36,45.27,0.636
Nicolas Hague,D,CAN,284.0,328,0.8659,18.257335680751176,16.90111502347418,0.041373239436619684,1.3148474178403757,0.15,0.498,0.648,3.911,4.305,4.953,0.0,0.637,-0.035,78.0,245.0,28.31,13,48.04,49.38,0.16
Nicolas Roy,C,CAN,280.0,328,0.8537,15.299166666666666,12.749940476190478,1.3428571428571427,1.2063690476190476,0.7,1.078,1.779,5.547,2.283,4.244,0.266,0.425,0.05,76.0,200.0,24.34,4,49.52,49.6,0.704
Nikita Kucherov,RW,RUS,317.0,328,0.9665,20.814773922187168,16.79143007360673,4.019348054679285,0.0039957939011566615,1.409,3.21,4.619,9.757,1.137,1.5,1.691,0.483,0.224,72.0,173.0,23.46,2,53.99,54.4,0.785
Nikita Zadorov,D,RUS,319.0,328,0.9726,19.409561128526647,17.14012539184953,0.13380355276906994,2.135632183908046,0.252,0.572,0.824,4.186,3.411,7.423,0.01,1.574,0.166,79.0,255.0,28.72,22,48.91,48.0,0.147
Niko Mikkola,D,FIN,307.0,328,0.936,19.429370249728553,17.26655808903366,0.0764386536373507,2.086373507057546,0.131,0.433,0.563,3.41,4.014,6.056,0.0,0.795,0.091,78.0,204.0,23.57,5,53.73,52.42,0.186
Nikolaj Ehlers,LW,DNK,278.0,328,0.8476,16.00707434052758,13.40581534772182,2.5971223021582728,0.004136690647481998,1.173,1.969,3.142,10.059,1.429,1.685,0.944,0.255,0.169,72.0,168.0,22.78,3,56.13,55.71,0.72
Nino Niederreiter,RW,CHE,298.0,328,0.9085,15.01258389261745,13.212360178970917,1.8002237136465324,0.0,0.899,0.858,1.757,7.846,1.797,6.733,0.362,0.329,0.027,74.0,218.0,27.99,0,51.33,53.43,0.943
Noah Cates,LW,USA,301.0,328,0.9177,16.059136212624587,12.950941306755261,1.4499446290143962,1.658250276854928,0.658,1.08,1.738,5.3,2.545,4.059,0.248,0.233,0.08,74.0,194.0,24.91,2,50.26,53.96,0.737
